序号	导出表	工作表/模块	原始字段名	字段上下文	标准字段名	字段含义	字段分类	MCP支持程度	MCP工具/类型	MCP对应字段/指标	推荐处理方式	关联键/补充说明	敏感级别	是否需客户导出
34	合同信息导出	合同信息	卖方/房东 / 门店	卖方/房东	房源方门店	房源方经纪人所属门店	组织/人事	不支持			需要合同信息导出。	MCP只返回房源方经纪人，不返回其组织层级。	普通	是
35	合同信息导出	合同信息	卖方/房东 / 片区	卖方/房东	房源方片区	房源方经纪人所属片区	组织/人事	不支持			需要合同信息导出或人员信息映射。		普通	是
36	合同信息导出	合同信息	卖方/房东 / 大区	卖方/房东	房源方大区	房源方经纪人所属大区	组织/人事	不支持			需要合同信息导出或人员信息映射。		普通	是
37	合同信息导出	合同信息	卖方/房东 / 运营	卖方/房东	房源方运营	房源方经纪人所属运营层级	组织/人事	不支持			需要合同信息导出或人员信息映射。		普通	是
38	合同信息导出	合同信息	买方/租客	买方/租客	客户姓名	买方或租客姓名	人员	直接支持	queryContractFinanceData / 合同明细	custName	直接使用MCP，默认脱敏。		高敏	否
39	合同信息导出	合同信息	身份证	买方/租客	客户证件号	买方或租客证件号码	人员敏感信息	直接支持	queryContractFinanceData / 合同明细	custCertNo	仅在明确必要时读取，默认脱敏。		高敏	否
40	合同信息导出	合同信息	录入时间	买方/租客	客源录入时间	对应客源进入系统的时间	日期	直接支持	queryContractFinanceData / 合同明细	custCreateTime	直接使用MCP。		普通	否
41	合同信息导出	合同信息	带看次数	买方/租客	客户带看次数	成交前客户累计带看次数	业务过程	直接支持	queryContractFinanceData / 合同明细	custLookCount	直接使用MCP。		普通	否
42	合同信息导出	合同信息	成交周期	买方/租客	客户成交周期	从客源录入到成交的周期	业务过程	直接支持	queryContractFinanceData / 合同明细	custDealPeriod	直接使用MCP。		普通	否
43	合同信息导出	合同信息	买方/租客 / 经纪人	买方/租客	客源方经纪人	负责客户侧的经纪人	人员	直接支持	queryContractFinanceData / 合同明细	custUserName	直接使用MCP。	若需组织层级仍需人员信息导出。	中敏	否
44	合同信息导出	合同信息	买方/租客 / 职能	买方/租客	客源方职能	客源方经纪人的职能	组织/人事	不支持			需要合同信息或人员信息导出。		中敏	是
45	合同信息导出	合同信息	买方/租客 / 分组	买方/租客	客源方分组	客源方经纪人所属分组	组织/人事	不支持			需要合同信息导出。		普通	是
46	合同信息导出	合同信息	买方/租客 / 门店	买方/租客	客源方门店	客源方经纪人所属门店	组织/人事	不支持			需要合同信息导出。		普通	是
47	合同信息导出	合同信息	买方/租客 / 片区	买方/租客	客源方片区	客源方经纪人所属片区	组织/人事	不支持			需要合同信息导出或人员信息映射。		普通	是
48	合同信息导出	合同信息	买方/租客 / 大区	买方/租客	客源方大区	客源方经纪人所属大区	组织/人事	不支持			需要合同信息导出或人员信息映射。		普通	是
49	合同信息导出	合同信息	买方/租客 / 运营	买方/租客	客源方运营	客源方经纪人所属运营层级	组织/人事	不支持			需要合同信息导出或人员信息映射。		普通	是
50	合同信息导出	合同信息	签约门店		签约部门/门店	合同签约所属部门或门店	组织/人事	部分支持	queryContractFinanceData / 合同明细	deptName	MCP可返回部门名；需要明确门店层级时建议导出。	deptName未公开组织层级，可能是门店、分组或其他部门。	普通	按需
51	合同信息导出	合同信息	签约小组		签约小组	合同签约所属小组	组织/人事	不支持			需要客户导出合同信息表。	MCP没有独立签约小组字段。	普通	是
52	合同信息导出	合同信息	成交金额/租金		成交金额/租金	买卖成交总价或租赁月租	金额	直接支持	queryContractFinanceData / 合同明细	contractPrice	直接使用MCP。	同一字段包含“万元”和“元/月”等不同单位，计算前需标准化。	中敏	否
53	合同信息导出	合同信息	付款方式		合同付款方式	一次性、贷款、押付方式等	状态/分类	直接支持	queryContractFinanceData / 合同明细	paymode	直接使用MCP。		普通	否
54	合同信息导出	合同信息	卖方/房东 / 应收佣金	卖方/房东	房源方应收佣金	房源方应收佣金金额	金额	直接支持	queryContractFinanceData / 合同明细	houseIncome	直接使用MCP。		中敏	否
55	合同信息导出	合同信息	买方/租客 / 应收佣金	买方/租客	客源方应收佣金	客源方应收佣金金额	金额	直接支持	queryContractFinanceData / 合同明细	custIncome	直接使用MCP。		中敏	否
56	合同信息导出	合同信息	卖方/房东 / 实收佣金	卖方/房东	房源方实收佣金	房源方已收佣金金额	金额	直接支持	queryContractFinanceData / 合同明细	paidHouseIncome	直接使用MCP。		中敏	否
57	合同信息导出	合同信息	买方/租客 / 实收佣金	买方/租客	客源方实收佣金	客源方已收佣金金额	金额	直接支持	queryContractFinanceData / 合同明细	paidCustIncome	直接使用MCP。		中敏	否
58	合同信息导出	合同信息	交易性质		交易性质	合同交易性质或特殊业务属性	合同补充属性	不支持			需要客户导出合同信息表。	MCP合同明细未暴露此字段。	普通	是
59	合同信息导出	合同信息	签约人		签约人	合同签约经纪人	人员	直接支持	queryContractFinanceData / 合同明细	userName	直接使用MCP。		中敏	否
60	合同信息导出	合同信息	签约日期		签约日期	合同签署日期	日期	直接支持	queryContractFinanceData / 合同明细	contractDate	直接使用MCP。	合同明细工具说明按签约日期筛选。	普通	否
61	合同信息导出	合同信息	产权证号		产权证号	房屋产权证书编号	房屋敏感信息	直接支持	queryContractFinanceData / 合同明细	propertyNo	仅在明确必要时读取并脱敏。		高敏	否
62	合同信息导出	合同信息	有无抵押		抵押状态	房屋是否存在抵押	合同补充属性	不支持			需要客户导出合同信息表。	MCP合同明细未暴露抵押状态。	中敏	是
63	合同信息导出	合同信息	押金金额		押金金额	租赁合同押金	金额	直接支持	queryContractFinanceData / 合同明细	deposit	直接使用MCP。		中敏	否
64	合同信息导出	合同信息	起租日期		起租日期	租赁合同开始日期	日期	直接支持	queryContractFinanceData / 合同明细	rentBegin	直接使用MCP。		普通	否
65	合同信息导出	合同信息	截止日期		租赁截止日期	租赁合同结束日期	日期	直接支持	queryContractFinanceData / 合同明细	rentEnd	直接使用MCP。		普通	否
66	合同信息导出	合同信息	结单日期		结单日期	合同完成结单的日期	日期	直接支持	queryContractFinanceData / 合同明细	finishTime	直接使用MCP。		普通	否
67	合同信息导出	合同信息	备注		合同备注	合同补充条款、业绩拆分等备注	文本备注	直接支持	queryContractFinanceData / 合同明细	remark	直接使用MCP，默认避免完整输出。	可能包含身份证、电话、收费及内部规则。	高敏	否
68	实收明细导出	实收明细	合同类型		合同类型	合同所属业务类型	合同标识	直接支持	queryContractFinanceData / 实收明细	contractType	直接使用MCP。	与合同编号组成合同唯一键。	普通	否
69	实收明细导出	实收明细	合同编号		合同编号	合同编号	合同标识	直接支持	queryContractFinanceData / 实收明细	contractNo	直接使用MCP。	按文本清理首尾空格。	中敏	否
70	实收明细导出	实收明细	签约时间		签约日期	合同签约日期	日期	直接支持	queryContractFinanceData / 实收明细	contractDate	直接使用MCP。		普通	否
71	实收明细导出	实收明细	科目		实收科目	佣金、贷款服务费等实收类型	财务科目	直接支持	queryContractFinanceData / 实收明细	incomeTypeString	直接使用MCP。		普通	否
72	实收明细导出	实收明细	状态		实收审核状态	实收记录审核状态	状态/分类	部分支持	queryContractFinanceData / 实收明细	status	字段可返回，但状态值含义未公开；需要可读状态时建议导出。	MCP样例出现0/1，不应擅自解释。	普通	按需
73	实收明细导出	实收明细	签约门店		签约部门/门店	合同签约所属部门或门店	组织/人事	部分支持	queryContractFinanceData / 实收明细	deptName	MCP可返回部门名；需明确门店层级时建议导出。	组织层级未公开。	普通	按需
74	实收明细导出	实收明细	签约分组		签约分组	合同签约所属分组	组织/人事	不支持			需要客户导出实收明细表。	MCP没有独立签约分组字段。	普通	是
75	实收明细导出	实收明细	签约人		签约人	合同签约人	人员	直接支持	queryContractFinanceData / 实收明细	signUserName	直接使用MCP。		中敏	否
76	实收明细导出	实收明细	佣金来源		实收来源	买方、租客、房东等付款来源	财务科目	直接支持	queryContractFinanceData / 实收明细	incomeSrc	直接使用MCP。		普通	否
77	实收明细导出	实收明细	支付金额		实收金额	本笔实际收款金额	金额	直接支持	queryContractFinanceData / 实收明细	amount	直接使用MCP。		中敏	否
78	实收明细导出	实收明细	备注		实收备注	本笔实收补充说明	文本备注	直接支持	queryContractFinanceData / 实收明细	remark	直接使用MCP，按需脱敏。		中敏	否
79	实收明细导出	实收明细	支付日期		实收日期	本笔款项实际收取日期	日期	直接支持	queryContractFinanceData / 实收明细	incomeDate	直接使用MCP。	实收明细按支付日期筛选。	普通	否
80	实收明细导出	实收明细	票据号码		票据号码	收款票据编号	财务标识	直接支持	queryContractFinanceData / 实收明细	ticketNo	直接使用MCP。		中敏	否
81	业绩明细导出	应收应付	合同类型		合同类型	合同所属业务类型	合同标识	直接支持	queryContractFinanceData / 应收应付	contractType	直接使用MCP。	与合同编号组成合同唯一键。	普通	否
82	业绩明细导出	应收应付	合同编号		合同编号	合同编号	合同标识	直接支持	queryContractFinanceData / 应收应付	contractNo	直接使用MCP。	按文本清理首尾空格。	中敏	否
83	业绩明细导出	应收应付	结单状态		结单状态	合同是否结单	状态/分类	直接支持	queryContractFinanceData / 应收应付	finishStatus	直接使用MCP。		普通	否
84	业绩明细导出	应收应付	结单时间		结单日期	合同结单时间	日期	直接支持	queryContractFinanceData / 应收应付	finishTime	直接使用MCP。		普通	否
85	业绩明细导出	应收应付	收齐状态		收齐状态	应收款是否收齐	状态/分类	直接支持	queryContractFinanceData / 应收应付	incomeStatus	直接使用MCP。		普通	否
86	业绩明细导出	应收应付	产权地址		产权地址	合同房屋完整地址	房屋信息	直接支持	queryContractFinanceData / 应收应付	address	直接使用MCP，公开输出时脱敏。		高敏	否
87	业绩明细导出	应收应付	房源编号		房源编号	ERP房源唯一编号	房屋标识	直接支持	queryContractFinanceData / 应收应付	houseNo	直接使用MCP。	按文本处理，保留前导零。	中敏	否
88	业绩明细导出	应收应付	小区名称门牌号		小区及门牌	小区、楼栋、单元、房号组合	房屋信息	直接支持	queryContractFinanceData / 应收应付	sectionAndCell	直接使用MCP，公开输出时脱敏。		高敏	否
89	业绩明细导出	应收应付	签约门店		签约部门/门店	合同签约所属部门或门店	组织/人事	部分支持	queryContractFinanceData / 应收应付	deptName	MCP可返回部门名；需明确门店层级时建议导出。	组织层级未公开。	普通	按需
90	业绩明细导出	应收应付	应收金额		应收金额	合同应收金额	金额	直接支持	queryContractFinanceData / 应收应付	receivableAmount	直接使用MCP。		中敏	否
91	业绩明细导出	应收应付	应收科目		应收科目	佣金等应收类型	财务科目	直接支持	queryContractFinanceData / 应收应付	incomeTypeString	直接使用MCP。		普通	否
92	业绩明细导出	应收应付	应付科目		应付科目	平台建设费、代办费等应付类型	财务科目	直接支持	queryContractFinanceData / 应收应付	payableTypeString	直接使用MCP。		普通	否
93	业绩明细导出	应收应付	应付金额		应付金额	对应应付科目的金额	金额	直接支持	queryContractFinanceData / 应收应付	payableAmount	直接使用MCP。		中敏	否
94	业绩明细导出	应收应付	签约日期		签约日期	合同签署日期	日期	直接支持	queryContractFinanceData / 应收应付	contractDate	直接使用MCP。	该类型工具说明按签约日期筛选。	普通	否
95	业绩明细导出	业绩分配	合同类型		合同类型	合同所属业务类型	合同标识	直接支持	queryContractFinanceData / 业绩分配	contractType	直接使用MCP。	与合同编号组成合同唯一键。	普通	否
96	业绩明细导出	业绩分配	合同编号		合同编号	合同编号	合同标识	直接支持	queryContractFinanceData / 业绩分配	contractNo	直接使用MCP。	按文本清理首尾空格。	中敏	否
97	业绩明细导出	业绩分配	结单状态		结单状态	合同是否结单	状态/分类	直接支持	queryContractFinanceData / 业绩分配	finishStatus	直接使用MCP。		普通	否
98	业绩明细导出	业绩分配	结单时间		结单日期	合同结单时间	日期	直接支持	queryContractFinanceData / 业绩分配	finishTime	直接使用MCP。		普通	否
99	业绩明细导出	业绩分配	收齐状态		收齐状态	合同款项是否收齐	状态/分类	直接支持	queryContractFinanceData / 业绩分配	incomeStatus	直接使用MCP。		普通	否
100	业绩明细导出	业绩分配	产权地址		产权地址	合同房屋完整地址	房屋信息	直接支持	queryContractFinanceData / 业绩分配	address	直接使用MCP，公开输出时脱敏。		高敏	否
101	业绩明细导出	业绩分配	房源编号		房源编号	ERP房源唯一编号	房屋标识	直接支持	queryContractFinanceData / 业绩分配	houseNo	直接使用MCP。	按文本处理。	中敏	否
102	业绩明细导出	业绩分配	小区名称门牌号		小区及门牌	小区、楼栋、单元、房号组合	房屋信息	直接支持	queryContractFinanceData / 业绩分配	sectionAndCell	直接使用MCP，公开输出时脱敏。		高敏	否
103	业绩明细导出	业绩分配	签约门店		签约部门/门店	合同签约所属部门或门店	组织/人事	部分支持	queryContractFinanceData / 业绩分配	deptName	MCP可返回部门名；需明确门店层级时建议导出。	组织层级未公开。	普通	按需
104	业绩明细导出	业绩分配	经纪人		业绩人员	获得该条业绩分配的人员	人员	直接支持	queryContractFinanceData / 业绩分配	userName	直接使用MCP。	同名人员匹配时必须结合组织字段。	中敏	否
105	业绩明细导出	业绩分配	业绩门店		业绩部门/门店	业绩人员所属分配部门或门店	组织/人事	部分支持	queryContractFinanceData / 业绩分配	assignDeptName	MCP返回分配部门，但无法保证是门店层级；需精确层级时导出。		普通	按需
106	业绩明细导出	业绩分配	业绩小组		业绩小组	业绩人员所属小组	组织/人事	不支持			需要客户导出业绩分配表。	MCP没有独立业绩小组字段。	普通	是
107	业绩明细导出	业绩分配	应收科目		业绩科目	佣金、贷款服务费等业绩类型	财务科目	直接支持	queryContractFinanceData / 业绩分配	incomeTypeString	直接使用MCP。		普通	否
108	业绩明细导出	业绩分配	分配类型		分配类型	签约人、成交人、维护人等分配角色	状态/分类	直接支持	queryContractFinanceData / 业绩分配	assignType	直接使用MCP。		普通	否
109	业绩明细导出	业绩分配	分配比例		分配比例	该人员获得的分配比例	比例	直接支持	queryContractFinanceData / 业绩分配	assignRate	直接使用MCP。	返回值可能为百分比文本或0，计算前标准化。	普通	否
110	业绩明细导出	业绩分配	分配业绩		分配金额	该人员获得的业绩金额	金额	直接支持	queryContractFinanceData / 业绩分配	assignAmount	直接使用MCP。		中敏	否
111	业绩明细导出	业绩分配	总实收佣金		合同总实收佣金	该合同累计实收佣金	金额	组合计算	queryContractFinanceData / 实收明细	按合同键汇总 amount（科目=佣金）	优先用实收明细按合同类型+合同编号汇总；需要与导出字段完全核对时可导出。	需确认退款、审核状态和科目范围。	中敏	可选
112	业绩明细导出	业绩分配	总实收业绩		实收业绩	该条分配对应的已实收业绩	金额	不支持			需要客户导出业绩分配表。	MCP仅列出分配金额，未暴露已实收业绩字段，不能直接等同。	中敏	是
113	业绩明细导出	业绩分配	备注		业绩备注	业绩分配补充说明	文本备注	直接支持	queryContractFinanceData / 业绩分配	remark	直接使用MCP，按需脱敏。		中敏	否
114	业绩明细导出	业绩分配	签约日期		签约日期	合同签署日期	日期	直接支持	queryContractFinanceData / 业绩分配	contractDate	直接使用MCP。	该类型工具说明按签约日期筛选。	普通	否
115	人员信息导出	汇总	运营		运营层级	组织架构中的运营层级	组织/人事	不支持			必须导出人员信息汇总或人员列表。	MCP没有完整组织架构树。	普通	是
116	人员信息导出	汇总	大区		大区	组织架构中的大区层级	组织/人事	不支持			必须导出人员信息汇总或人员列表。		普通	是
117	人员信息导出	汇总	片区		片区	组织架构中的片区层级	组织/人事	不支持			必须导出人员信息汇总或人员列表。		普通	是
118	人员信息导出	汇总	门店		门店	组织架构中的门店层级	组织/人事	部分支持	queryRptData / 合同财务明细	deptName / assignDeptName	MCP只会在部分业务数据中返回部门名称，不能替代完整门店清单。	无法证明层级、无法包含无业务数据或停用门店。	普通	按需
119	人员信息导出	汇总	人数		在册人数	该组织节点下的人员数量	人员统计	不支持			必须导出人员信息汇总或人员列表后统计。	不能用有业务记录人数代替在册人数。	中敏	是
120	人员信息导出	人员列表	运营		运营层级	员工所属运营层级	组织/人事	不支持			必须导出人员列表。		普通	是
121	人员信息导出	人员列表	大区		大区	员工所属大区	组织/人事	不支持			必须导出人员列表。		普通	是
122	人员信息导出	人员列表	片区		片区	员工所属片区	组织/人事	不支持			必须导出人员列表。		普通	是
123	人员信息导出	人员列表	门店		门店	员工所属门店	组织/人事	部分支持	queryRptData / 合同财务明细	deptName / assignDeptName	MCP仅能在部分业务记录中零散返回部门名，不能得到全量人员归属。		普通	按需
124	人员信息导出	人员列表	分组		分组	员工所属小组	组织/人事	部分支持	queryRptData / 合同财务明细	deptName / assignDeptName	部分返回值可能是小组名称，但层级不明确；需要全量归属必须导出。		普通	按需
125	人员信息导出	人员列表	职能		职能	员工业务职能	组织/人事	不支持			必须导出人员列表。		中敏	是
126	人员信息导出	人员列表	姓名		员工姓名	员工姓名	人员	部分支持	queryRptData / 合同财务明细	userName / signUserName / houseUserName / custUserName	MCP可返回业务相关人员姓名，但不能形成全量员工名册。	无业务记录人员、离职人员可能缺失。	中敏	按需
127	人员信息导出	人员列表	性别		性别	员工性别	人员敏感信息	不支持			仅在业务确有必要时导出并限制使用。		高敏	是
128	人员信息导出	人员列表	岗位		岗位	员工岗位名称	组织/人事	不支持			必须导出人员列表。		中敏	是
129	人员信息导出	人员列表	电话		手机号	员工联系电话	人员敏感信息	不支持			仅在确有必要时导出，默认脱敏。	合同明细工具说明明确不含手机号。	高敏	是
130	人员信息导出	人员列表	离职		离职状态	员工是否离职	人事状态	不支持			人均、在职率、离职后业绩等需求必须导出。		高敏	是
131	人员信息导出	人员列表	离职时间		离职时间	员工离职日期	日期/人事	不支持			人均指标按时间点计算时必须使用。		高敏	是
132	人员信息导出	人员列表	冻结		冻结状态	账号是否冻结	账号状态	不支持			必须导出人员列表。		中敏	是
133	人员信息导出	人员列表	冻结时间		冻结时间	账号冻结时间	日期/账号	不支持			必须导出人员列表。		中敏	是
134	人员信息导出	人员列表	最近登录时间		最近登录时间	员工最近登录ERP时间	系统行为	不支持			活跃账号分析需要导出。		中敏	是
135	人员信息导出	人员列表	提成方案		提成方案	员工适用的提成方案	薪酬敏感信息	不支持			仅在授权的薪酬分析场景导出。		高敏	是
136	人员信息导出	人员列表	身份证号		身份证号	员工证件号码	人员敏感信息	不支持			原则上不应为一般经营分析导出；确需使用必须脱敏。		高敏	是
137	人员信息导出	人员列表	工号		工号	员工内部工号	人员标识	不支持			建议作为人员主键之一导出。	优先用工号而非姓名做人员匹配。	中敏	是
138	人员信息导出	人员列表	入职日期		入职日期	员工入职日期	日期/人事	不支持			在职人数、司龄、人均产能分析需要导出。		高敏	是
139	人员信息导出	人员列表	出生日期		出生日期	员工出生日期	人员敏感信息	不支持			一般经营分析不建议导出。		高敏	是
140	人员信息导出	人员列表	招聘渠道		招聘渠道	员工来源招聘渠道	人事信息	不支持			招聘效果分析需要导出。		高敏	是
141	人员信息导出	人员列表	推荐人		推荐人	内部推荐人	人员关系	不支持			推荐招聘分析需要导出。		高敏	是
142	人员信息导出	人员列表	籍贯		籍贯	员工籍贯	人员敏感信息	不支持			一般经营分析不建议导出。		高敏	是
143	人员信息导出	人员列表	民族		民族	员工民族信息	敏感个人属性	不支持			非必要不得导出或分析。		高敏	是
144	人员信息导出	人员列表	婚姻状况		婚姻状况	员工婚姻状态	敏感个人属性	不支持			非必要不得导出或分析。		高敏	是
145	人员信息导出	人员列表	政治面貌		政治面貌	员工政治面貌	敏感个人属性	不支持			非必要不得导出或分析。		高敏	是
146	人员信息导出	人员列表	最高学历		最高学历	员工最高学历	人事信息	不支持			人才结构分析需要导出。		高敏	是
147	人员信息导出	人员列表	毕业年份		毕业年份	最高学历毕业年份	人事信息	不支持			人才结构分析需要导出。		中敏	是
148	人员信息导出	人员列表	毕业院校		毕业院校	员工毕业院校	人事信息	不支持			人才结构分析需要导出。		高敏	是
149	人员信息导出	人员列表	专业		专业	员工所学专业	人事信息	不支持			人才结构分析需要导出。		高敏	是
150	人员信息导出	人员列表	银行卡号		银行卡号	员工工资或结算银行卡号	金融敏感信息	不支持			禁止用于一般经营分析；确需处理必须严格授权和脱敏。		高敏	是
151	人员信息导出	人员列表	开户银行		开户银行	银行卡开户银行	金融敏感信息	不支持			非薪酬结算场景不要导出。		高敏	是
152	人员信息导出	人员列表	社保账户		社保账户	员工社保账户信息	金融/人事敏感信息	不支持			非必要不得导出。		高敏	是
153	人员信息导出	人员列表	公积金号		公积金账号	员工公积金账号	金融/人事敏感信息	不支持			非必要不得导出。		高敏	是
154	人员信息导出	人员列表	QQ		QQ	员工QQ联系方式	联系方式	不支持			一般经营分析不建议导出。		高敏	是
155	人员信息导出	人员列表	微信		微信	员工微信联系方式	联系方式	不支持			一般经营分析不建议导出。		高敏	是
156	人员信息导出	人员列表	电子邮箱		电子邮箱	员工电子邮箱	联系方式	不支持			按需导出并脱敏。		高敏	是
157	人员信息导出	人员列表	备用电话		备用电话	员工备用联系电话	联系方式	不支持			非必要不得导出。		高敏	是
158	人员信息导出	人员列表	现居地址		现居地址	员工当前居住地址	地址敏感信息	不支持			非必要不得导出。		高敏	是
159	人员信息导出	人员列表	户口地址		户口地址	员工户籍地址	地址敏感信息	不支持			非必要不得导出。		高敏	是
160	人员信息导出	人员列表	紧急联系人		紧急联系人	员工紧急联系人姓名	第三方敏感信息	不支持			非必要不得导出。		高敏	是
161	人员信息导出	人员列表	紧急联系电话		紧急联系电话	员工紧急联系人电话	第三方敏感信息	不支持			非必要不得导出。		高敏	是
162	人员信息导出	人员列表	技能证书		技能证书	员工持有的专业技能证书	人事信息	不支持			人才盘点需要导出。		中敏	是
163	人员信息导出	人员列表	荣誉奖项		荣誉奖项	员工获得的荣誉	人事信息	不支持			人才盘点需要导出。		中敏	是
164	人员信息导出	人员列表	兴趣爱好		兴趣爱好	员工兴趣爱好	个人信息	不支持			一般经营分析不建议导出。		高敏	是
